,a.0.9,a.10.19,a.20.29,a.30.39,a.40.49,a.50.59,a.60.69,a.70.79,a.80.89,f,m,armed.forces,civilian.employed,not.in.labor.force,unemployed,abroad.house,diff.us.house,same.house,i.0.9999,i.10000.14999,i.15000.24999,i.25000.34999,i.35000.49999,i.50000.64999,i.65000.74999,i.75000.99999,abroad.born,naturalization,not.citizen,puerto.rico.born,us.born,divorced,married,never,separated,widowed,no.schooling,private,public,with.disability,without.disability,federal,local,not.working,private.no.profit,private.profit,self.employed.corp,self.employed.no.corp,state,with.insurance,without.insurance,asian,black,other,two,white
100,615,458,801,850,782,538,352,205,85,2284,2402,13,2769,1697,207,118,592,3976,2425,83,321,322,479,146,212,698,60,808,1398,17,2403,357,1630,2464,140,95,3594,123,969,265,4421,266,100,1915,376,1747,57,209,16,3951,735,937,350,833,151,2415
101,402,237,393,458,338,505,355,182,67,1413,1524,8,1687,1203,39,40,201,2696,1691,14,81,141,164,104,70,672,66,846,287,8,1730,208,1302,1319,61,47,2265,195,477,148,2789,206,109,1246,129,985,83,140,39,2687,250,838,146,130,131,1692
102,518,538,1068,1227,422,417,338,114,130,2060,2712,37,2982,1646,107,206,604,3962,2606,112,642,358,280,175,81,518,75,967,1759,25,1946,168,1241,3097,81,185,3732,207,833,285,4487,168,72,1974,158,2079,92,194,35,3159,1613,627,439,1559,310,1837
103,373,365,377,341,497,583,492,202,217,1796,1651,0,1763,1571,113,78,227,3142,2195,5,78,143,154,144,89,639,52,766,486,14,2129,210,1581,1493,23,140,2565,188,694,362,3085,330,126,1673,96,920,127,175,0,3203,244,1009,167,59,144,2068
104,210,103,236,251,199,296,196,144,66,820,881,13,1032,646,10,22,174,1505,831,34,44,11,77,152,42,510,45,367,70,20,1199,94,905,646,13,43,1325,48,328,94,1607,137,78,672,94,535,77,64,44,1656,45,223,56,60,47,1315
105,334,279,180,416,310,444,382,115,198,1321,1337,11,1340,1199,108,13,345,2300,1470,20,63,117,103,181,79,625,44,492,127,0,1995,224,1182,1071,26,155,1998,124,536,218,2440,192,83,1317,175,677,65,119,30,2292,366,383,107,87,78,2003
106,308,261,169,302,285,334,349,231,83,1198,1124,5,1211,1081,25,0,71,2251,1461,9,18,28,107,83,47,569,24,410,216,0,1672,173,1176,840,8,125,1797,132,393,174,2148,162,45,1097,151,623,33,168,43,2164,158,258,99,222,176,1567
107,141,220,144,74,264,238,302,155,106,789,855,6,767,856,15,0,121,1523,1043,1,25,48,41,43,7,436,26,246,163,16,1193,76,908,554,16,90,1240,159,245,89,1555,159,24,858,60,385,70,65,23,1593,51,142,41,22,24,1415
108,240,374,209,287,466,418,268,160,88,1292,1218,16,1368,1068,58,18,159,2333,1455,0,62,42,84,150,55,662,105,356,215,49,1785,190,1134,1055,36,95,1925,218,367,163,2347,205,88,1131,161,714,80,85,46,2428,82,357,51,3,118,1981
109,257,301,585,802,464,241,245,198,156,1661,1588,15,1899,1264,71,26,152,3071,2191,15,308,156,191,108,23,257,40,497,1253,10,1449,99,969,1971,42,168,2559,115,575,195,3054,151,68,1540,125,1273,26,53,13,2205,1044,478,176,858,37,1700
