,a.0.9,a.10.19,a.20.29,a.30.39,a.40.49,a.50.59,a.60.69,a.70.79,a.80.89,f,m,armed.forces,civilian.employed,not.in.labor.force,unemployed,abroad.house,diff.us.house,same.house,i.0.9999,i.10000.14999,i.15000.24999,i.25000.34999,i.35000.49999,i.50000.64999,i.65000.74999,i.75000.99999,abroad.born,naturalization,not.citizen,puerto.rico.born,us.born,divorced,married,never,separated,widowed,no.schooling,private,public,with.disability,without.disability,federal,local,not.working,private.no.profit,private.profit,self.employed.corp,self.employed.no.corp,state,with.insurance,without.insurance,asian,black,other,two,white
85,299,71,820,844,498,279,338,48,11,1712,1496,28,2338,744,98,18,812,2378,1150,61,91,221,244,261,187,993,57,621,449,0,2081,349,1223,1578,49,9,2872,182,154,99,3109,225,122,850,252,1584,92,83,0,3082,126,622,360,136,298,1792
86,882,473,866,1007,640,693,809,265,198,2992,2841,16,3120,2523,174,180,894,4759,3584,19,125,339,534,280,162,790,61,941,1195,20,3616,447,2313,2825,73,175,4519,220,1094,405,5428,284,253,2697,435,1800,251,68,45,5175,658,1237,839,281,308,3168
87,195,430,166,260,341,482,323,303,129,1333,1296,15,1241,1310,63,10,270,2349,1696,3,36,22,37,100,38,697,34,413,50,3,2129,112,1520,893,5,99,1961,127,541,237,2392,265,95,1369,103,643,68,75,11,2591,38,362,145,24,57,2041
88,580,831,360,494,651,833,829,417,186,2801,2380,59,2505,2458,159,77,509,4595,3341,7,84,133,231,157,74,1154,198,835,442,29,3677,310,2432,2070,74,295,3747,210,1224,354,4827,321,260,2653,292,1294,110,161,90,4608,573,1150,126,57,177,3671
89,179,2789,2889,476,467,368,369,96,37,3540,4130,25,3089,3857,699,143,1717,5810,6749,23,51,70,87,149,42,499,213,474,651,10,6322,202,1191,6124,62,91,2301,240,5129,309,7361,119,177,4584,508,1803,32,75,372,6285,1385,970,1365,208,242,4885
90,429,465,446,356,457,400,340,155,68,1545,1571,0,1710,1313,93,52,503,2561,1916,18,96,118,148,201,52,567,35,547,414,24,2096,109,1411,1452,26,118,2187,131,798,259,2857,121,147,1379,103,1156,70,124,16,2783,333,611,89,104,258,2054
91,284,512,227,235,422,513,452,254,117,1460,1556,18,1593,1343,62,83,145,2788,1866,9,52,52,162,128,82,665,61,463,188,0,2304,128,1614,1092,58,124,2051,101,864,225,2791,239,118,1399,191,873,50,116,30,2874,142,595,94,47,86,2194
92,802,872,456,627,655,816,738,429,281,2913,2763,28,2722,2815,111,60,661,4955,3855,59,61,99,195,199,71,1137,150,774,329,41,4382,207,2978,2329,11,151,3919,365,1392,342,5334,409,216,2917,337,1363,199,154,81,5173,503,915,133,44,137,4447
93,498,1048,411,643,830,883,963,428,430,3105,3029,63,3086,2785,200,94,459,5581,4121,33,18,45,163,294,38,1422,161,1060,503,79,4331,321,3216,2237,40,320,4546,232,1356,642,5492,442,267,3005,188,1824,50,317,41,5633,501,1093,214,72,34,4721
94,590,391,1000,1100,635,775,401,172,105,2440,2729,0,3464,1599,106,30,1283,3856,2578,72,189,104,400,388,231,1207,47,676,1493,18,2935,392,2063,2515,107,92,4102,197,870,273,4896,473,214,1695,255,2216,71,194,51,4178,991,1567,216,647,180,2559
