SERIALNO,AGE,SEX,EMPLOYMENT,MOBILITY,INCOME,CITIZENSHIP,MARITAL_STATUS,SCHOOLING,DISABILITY,WORK,INSURANCE,RACE
2018HU0110734,20,1,1,1,5200,5,5,2,2,1,1,1
2018HU0110734,11,2,,1,,1,5,2,2,,1,1
2018HU0112855,65,1,1,1,170000,1,1,1,2,5,1,1
2018HU0112855,47,2,1,1,150000,4,1,1,2,5,1,6
2018HU0113826,29,2,1,1,106000,5,1,1,2,2,1,6
2018HU0118417,45,1,1,1,55000,1,3,1,2,4,1,6
2018HU0120839,39,1,1,1,133000,1,1,1,2,5,1,1
2018HU0120839,38,2,1,1,50000,4,1,1,2,2,1,6
2018HU0120839,9,1,,1,,1,5,2,2,,1,9
2018HU0120839,7,2,,1,,1,5,2,2,,1,9
2018HU0121868,64,2,1,1,136000,1,3,1,2,5,1,1
2018HU0123676,69,2,6,1,0,1,2,1,2,3,1,1
2018HU0132829,44,1,1,1,150000,1,1,1,2,5,1,1
2018HU0132829,39,2,1,1,32000,1,1,1,2,7,1,1
2018HU0132829,3,1,,1,,1,5,3,2,,1,1
2018HU0132829,0,1,,,,1,5,,2,,1,1
2018HU0133512,59,2,6,1,0,1,1,1,2,,1,1
2018HU0133512,61,1,1,1,118000,1,1,1,2,5,1,1
2018HU0134946,53,2,1,1,158000,1,5,1,2,5,1,1
2018HU0134946,57,2,1,1,95000,1,5,1,2,1,1,1
2018HU0137839,65,2,1,1,75000,1,3,1,1,1,1,1
2018HU0144293,38,1,1,1,39000,5,5,1,2,1,2,8
2018HU0144293,32,2,1,1,15000,5,5,1,2,1,2,8
2018HU0144293,43,1,3,3,44000,5,5,1,2,1,2,8
2018HU0144293,37,2,1,1,19000,4,1,1,2,4,2,8
2018HU0144293,37,2,6,1,8000,5,5,1,2,1,2,8
2018HU0145487,47,2,1,1,107000,1,1,1,2,2,1,1
2018HU0145487,46,1,1,1,48000,1,1,1,2,4,1,2
2018HU0145487,6,1,,1,,1,5,2,2,,1,9
2018HU0146688,41,1,1,1,64000,5,1,1,2,1,2,2
2018HU0146688,35,2,6,1,0,5,1,1,2,,2,2
2018HU0146688,8,1,,1,,5,5,2,2,,1,2
2018HU0146688,6,2,,1,,5,5,2,2,,1,2
2018HU0146688,3,2,,1,,5,5,1,2,,1,2
2018HU0151702,63,2,6,1,0,1,3,1,2,,1,1
2018HU0151702,26,1,1,1,6000,1,5,1,1,2,1,1
2018HU0153202,56,2,1,1,125000,1,3,1,2,1,1,1
2018HU0156900,61,2,6,1,0,1,2,1,1,,1,9
2018HU0156900,29,1,6,1,0,1,5,3,1,,1,9
2018HU0157616,32,2,6,3,0,1,1,1,2,1,1,1
2018HU0157616,33,1,1,3,500000,1,1,1,2,1,1,1
2018HU0157616,4,1,,3,,1,5,1,2,,1,1
2018HU0157616,1,1,,3,,1,5,,2,,1,1
2018HU0161985,67,1,6,1,0,1,1,1,2,,1,1
2018HU0161985,60,2,6,1,0,1,1,1,2,,1,1
2018HU0162006,94,1,6,1,0,4,1,1,2,,1,1
2018HU0162006,80,2,6,1,0,4,1,1,2,,1,1
2018HU0162161,58,1,1,1,78000,1,3,1,2,4,1,2
2018HU0162188,47,1,1,3,30000,4,4,1,2,8,2,6
2018HU0162188,15,1,,3,0,5,5,2,2,,2,6
2018HU0163367,39,1,1,1,140000,1,1,1,2,1,1,1
2018HU0163367,39,2,1,1,112000,1,1,1,2,1,1,1
2018HU0163367,8,1,,1,,1,5,2,2,,1,1
2018HU0163367,4,2,,1,,1,5,2,2,,1,1
2018HU0163552,77,2,1,1,118000,4,5,1,2,2,1,2
2018HU0171163,44,1,1,3,5000,5,1,1,2,1,1,6
2018HU0171337,28,1,1,1,30000,1,5,1,2,1,2,1
2018HU0171337,2,2,,1,,1,5,,2,,1,1
2018HU0171337,53,1,1,1,44000,4,1,1,2,1,1,1
