,a.0.9,a.10.19,a.20.29,a.30.39,a.40.49,a.50.59,a.60.69,a.70.79,a.80.89,f,m,armed.forces,civilian.employed,not.in.labor.force,unemployed,abroad.house,diff.us.house,same.house,i.0.9999,i.10000.14999,i.15000.24999,i.25000.34999,i.35000.49999,i.50000.64999,i.65000.74999,i.75000.99999,abroad.born,naturalization,not.citizen,puerto.rico.born,us.born,divorced,married,never,separated,widowed,no.schooling,private,public,with.disability,without.disability,federal,local,not.working,private.no.profit,private.profit,self.employed.corp,self.employed.no.corp,state,with.insurance,without.insurance,asian,black,other,two,white
61,527,682,434,662,658,611,447,194,65,2056,2224,33,2382,1806,59,78,521,3681,2360,0,56,206,253,256,117,1032,119,1066,585,47,2463,344,1904,1830,71,131,2944,149,1187,264,4016,462,228,1869,130,1395,49,75,72,3923,357,1258,701,267,199,1855
62,443,433,465,429,569,484,435,272,57,1755,1832,27,2042,1453,65,73,429,3085,1965,12,304,242,189,167,165,543,110,770,446,20,2241,339,1748,1317,145,38,2712,137,738,233,3354,159,144,1532,180,1357,35,136,44,3175,412,713,257,204,120,2293
63,494,677,598,543,838,706,637,343,73,2421,2488,60,2626,2097,126,37,550,4322,2781,66,121,332,226,314,121,948,131,1084,502,59,3133,298,2334,2045,79,153,3367,159,1383,351,4558,447,269,2248,322,1403,72,125,23,4656,253,1046,412,161,258,3032
64,326,332,246,463,344,295,226,146,54,1287,1145,0,1351,1032,49,36,234,2162,1411,4,66,88,157,257,74,375,38,628,323,8,1435,129,1083,1144,2,74,1662,135,635,187,2245,166,138,1068,64,831,55,75,35,2240,192,514,560,131,81,1146
65,621,605,352,596,545,775,380,372,119,2137,2228,119,1994,2087,165,25,689,3651,2687,0,46,146,112,307,121,946,130,738,208,0,3289,165,2255,1788,0,157,3043,328,994,397,3968,380,202,2352,242,985,32,109,63,4026,339,576,340,44,379,3026
66,618,605,464,556,672,670,643,221,163,2352,2260,42,2401,2095,74,18,609,3985,2745,76,216,107,196,244,154,874,204,840,284,0,3284,327,2222,1885,4,174,3422,203,987,318,4294,444,138,2187,118,1412,94,180,39,4204,408,985,492,134,316,2685
67,812,807,394,696,752,807,734,316,163,2741,2740,124,2557,2709,91,77,477,4927,3362,13,65,69,147,107,115,1603,282,745,229,55,4170,211,2727,2329,22,192,3839,201,1441,314,5167,595,228,2923,302,1269,27,83,54,5231,250,715,429,48,153,4136
68,796,1038,877,860,1000,1041,688,493,1690,4781,3702,73,3569,4562,279,0,381,8102,6023,118,298,230,541,257,109,907,117,2013,875,73,5405,362,3461,3299,142,1219,6557,346,1580,1357,7126,359,210,4882,224,2296,265,228,19,7131,1352,1804,1159,195,288,5037
69,492,713,376,650,715,764,400,212,78,2288,2112,9,2552,1750,89,88,846,3466,2510,46,127,272,223,225,187,810,95,750,693,21,2841,293,2101,1864,56,86,3109,165,1126,324,4076,319,256,1810,193,1574,65,99,84,4056,344,811,200,59,221,3109
70,373,486,323,425,488,520,307,314,83,1690,1629,32,1643,1591,53,53,225,3041,1935,0,81,90,130,218,111,754,142,531,220,16,2410,163,1674,1326,16,140,2360,167,792,285,3034,189,80,1660,125,1104,29,82,50,3173,146,678,245,164,141,2091
71,308,487,350,257,362,550,447,263,150,1620,1554,60,1503,1555,56,29,489,2656,1960,54,59,18,155,56,50,822,47,574,72,0,2481,92,1691,1210,77,104,2272,222,680,220,2954,329,91,1683,172,677,121,71,30,3057,117,458,103,66,95,2452
