a.0.9,a.10.19,a.20.29,a30.39,a.40.49,a.50.59,a.60.69,a.70.79,a.80.89
800,1188,486,472,1048,1202,1027,734,442
542,797,186,282,689,708,531,313,159
620,896,545,306,799,1143,873,416,204
484,526,283,251,531,720,402,110,28
755,715,632,579,709,1061,878,264,152
406,398,392,413,383,704,392,105,24
219,289,216,288,234,322,300,107,0
351,235,584,675,435,492,188,124,15
686,876,598,760,726,842,456,229,69
473,541,449,679,542,604,311,204,34
1189,1007,889,1138,1049,770,765,321,123
515,353,588,846,519,585,533,64,15
724,366,958,770,463,337,310,145,99
1460,678,975,1582,1016,508,311,114,81
384,116,435,682,491,113,158,55,5
578,301,737,886,660,314,106,50,26
876,415,202,781,599,501,123,126,148
627,344,320,789,619,116,122,66,11
642,979,574,484,863,1148,543,195,14
708,872,485,541,755,1041,624,269,118
138,139,75,105,165,229,213,67,16
949,859,1047,903,822,865,520,308,78
1001,626,677,1142,996,893,878,563,396
189,299,157,148,336,402,369,289,64
386,559,224,243,423,607,438,359,43
623,1227,469,464,822,1049,1029,464,109
724,594,682,843,840,596,227,229,81
685,742,1218,651,777,805,849,282,276
650,606,303,540,704,789,839,301,83
352,157,365,413,474,591,527,259,137
559,313,546,488,528,543,336,177,112
327,248,468,491,281,226,224,117,21
299,214,497,920,581,372,445,255,186
357,157,617,856,570,573,625,310,241
601,282,434,665,807,639,635,579,179
788,548,787,932,663,486,258,121,32
311,272,376,656,476,500,457,343,98
332,340,106,156,407,384,317,190,60
1848,1054,1920,2338,1516,803,626,109,15
324,492,257,439,436,525,346,102,20
594,865,430,405,1010,866,541,105,66
528,899,470,376,839,1129,637,232,81
981,1097,761,1024,1219,1287,744,258,0
968,1268,688,521,1547,1172,794,406,184
591,730,726,630,765,959,714,226,202
1129,843,607,881,1001,1009,622,162,101
416,340,689,425,626,443,172,84,36
762,729,729,455,1028,1181,746,475,390
207,365,153,97,231,430,258,56,18
427,683,287,374,452,768,593,124,74
424,431,338,467,454,581,385,199,59
1341,601,785,1258,959,635,503,193,38
997,658,1017,1291,1218,694,498,94,82
120,183,339,410,250,177,120,22,12
946,1423,785,1092,1268,1169,529,175,124
468,357,761,510,430,666,266,68,25
680,483,664,904,748,487,358,164,66
789,469,456,913,1000,851,276,240,33
869,475,651,1013,673,597,291,186,48
472,659,319,359,577,812,461,127,61
386,734,384,515,655,810,278,158,0
339,527,233,200,447,533,465,100,23
951,881,1054,1254,1068,935,780,171,198
605,1373,507,466,1307,1570,819,386,62
907,637,816,778,686,734,363,230,11
803,716,786,760,822,1025,638,270,36
616,276,553,989,517,518,323,123,183
890,762,1962,1422,968,813,471,173,77
405,328,1196,1191,699,606,183,93,0
518,532,1294,888,754,481,279,0,105
434,616,269,438,606,565,306,187,36
267,210,547,608,399,233,208,53,14
426,351,382,521,400,338,341,210,53
897,1033,793,971,1103,1016,649,362,110
598,1065,656,374,893,1293,921,399,461
735,868,418,407,650,1100,1364,471,179
352,399,184,404,314,491,554,252,73
550,1271,579,400,959,1134,1086,472,125
488,603,448,332,379,889,689,129,78
449,673,345,455,521,493,321,171,8
565,532,635,765,780,674,489,129,59
322,599,268,436,381,742,823,372,137
