abroad.born,naturalization,not.citizen,puerto.rico.born,us.born
81,912,532,18,3339
109,963,231,0,3888
57,1630,574,0,5110
79,1877,448,9,5135
174,973,600,27,3769
142,864,1158,32,4159
132,635,528,0,1936
96,1556,486,0,4357
5,221,36,0,1553
133,405,199,0,3045
121,515,285,12,2405
114,1002,934,30,4233
124,1422,775,0,4228
63,318,324,5,923
62,1645,1520,13,4271
92,604,709,0,2146
42,1165,1346,15,1986
78,871,895,11,3172
86,1254,1075,36,2352
106,510,162,20,3049
32,780,605,0,2503
78,404,49,0,2336
73,2339,1484,56,3340
43,1461,449,23,5119
100,933,1289,0,2840
75,1541,1263,0,2977
109,619,717,0,2653
129,1165,1344,123,4777
137,673,814,28,3049
92,848,1017,72,2822
49,1331,322,0,1755
40,444,344,0,1711
71,309,371,0,2271
116,1036,1178,0,4604
143,670,149,0,5698
176,539,149,0,5328
70,425,52,6,2470
330,1184,301,0,4761
101,415,0,56,3463
86,611,139,32,2568
64,769,616,9,3170
42,431,37,0,3570
