divorced,married,never,separated,widowed
109,2102,1485,18,68
267,1732,1252,8,79
412,2427,3310,86,78
454,2708,3124,149,114
98,626,789,80,40
213,3258,3595,137,308
274,1428,1723,34,92
309,1758,2221,31,235
428,2293,2104,53,149
140,2355,2197,36,75
179,2034,1544,27,63
232,1815,1799,19,55
45,1604,1151,1,66
418,3680,3134,15,45
180,3838,2863,6,208
305,2275,2451,67,64
278,2538,2706,17,317
342,1727,1894,27,108
299,3083,3855,131,170
439,1628,2405,154,75
330,1773,2494,104,150
145,1747,1418,68,79
258,845,1327,32,77
208,1309,1323,46,136
477,2986,3118,126,227
152,3487,2711,54,256
152,3452,2230,46,312
116,1790,1018,6,93
250,3605,2548,18,155
127,2196,1622,18,72
181,1613,1545,29,68
400,2011,2068,25,124
106,2377,1485,8,104
